waktu,Unnamed: 0,kelembaban,suhu,permukaan,hujan,curah
2020-03-09 01:28:22,10047,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:28:28,10048,67.0,40.0,26.0,101.0,0.0
2020-03-09 01:28:35,10049,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:28:41,10050,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:28:48,10051,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:28:55,10052,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:29:01,10053,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:29:08,10054,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:29:14,10055,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:29:27,10056,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:29:34,10057,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:29:40,10058,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:29:47,10059,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:29:53,10060,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:30:13,10061,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:30:19,10062,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:30:32,10063,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:30:38,10064,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:30:45,10065,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:30:51,10066,68.0,49.0,26.0,101.0,0.0
2020-03-09 01:30:58,10067,68.0,50.0,26.0,101.0,0.0
2020-03-09 01:31:04,10068,68.0,48.0,26.0,101.0,0.0
2020-03-09 01:31:11,10069,68.0,47.0,26.0,101.0,0.0
2020-03-09 01:31:18,10070,68.0,48.0,26.0,101.0,0.0
2020-03-09 01:31:24,10071,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:31:30,10072,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:31:37,10073,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:31:56,10074,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:32:03,10075,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:32:16,10076,68.0,41.0,27.0,101.0,0.0
2020-03-09 01:32:22,10077,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:32:29,10078,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:32:35,10079,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:32:42,10080,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:32:55,10081,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:33:02,10082,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:33:08,10083,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:33:15,10084,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:33:27,10085,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:33:40,10086,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:33:46,10087,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:33:53,10088,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:34:06,10089,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:34:13,10090,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:34:25,10091,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:34:44,10092,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:34:51,10093,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:34:58,10094,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:35:04,10095,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:35:11,10096,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:35:17,10097,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:35:30,10098,68.0,40.0,26.0,101.0,0.0
2020-03-09 01:36:02,10099,67.0,40.0,26.0,101.0,0.0
2020-03-09 01:36:08,10100,68.0,48.0,27.0,101.0,0.0
2020-03-09 01:36:15,10101,68.0,48.0,26.0,101.0,0.0
2020-03-09 01:36:22,10102,68.0,47.0,26.0,101.0,0.0
2020-03-09 01:36:28,10103,68.0,45.0,27.0,101.0,0.0
2020-03-09 01:36:35,10104,68.0,44.0,27.0,101.0,0.0
2020-03-09 01:36:41,10105,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:36:48,10106,68.0,41.0,26.0,101.0,0.0
2020-03-09 01:36:54,10107,68.0,45.0,27.0,101.0,0.0
2020-03-09 01:37:01,10108,68.0,44.0,26.0,101.0,0.0
2020-03-09 01:37:07,10109,68.0,44.0,27.0,101.0,0.0
2020-03-09 01:37:14,10110,68.0,40.0,27.0,101.0,0.0
2020-03-09 01:37:20,10111,68.0,45.0,27.0,101.0,0.0
2020-03-09 01:37:27,10112,68.0,44.0,27.0,101.0,0.0
2020-03-09 01:37:34,10113,68.0,44.0,26.0,101.0,0.0
2020-03-09 01:37:40,10114,68.0,44.0,27.0,101.0,0.0
2020-03-09 01:37:53,10115,68.0,43.0,27.0,101.0,0.0
